Menu,kcal,Protein,Kohlenhydrate,Zucker,Fett,Ballaststoffe,Kochsalz,CHF
McRaclette Chili,246,11,16,0,15,1,0.9,9
McRaclette Chili Bacon,262,13,15,0,17,1,1.3,10
McRaclette,272,16,16,0,16,1,1.3,9
Big Mac,219,11,18,4,11,1,1,7.0
Double Big Mac,230,14,14,3,13,1,1,10.4
Cheeseburger Royal,245,15,17,5,13,1,1.4,8
Cheeseburger Royal Bacon,265,18,15,4,15,1,1.7,9.1
Double Cheeseburger Royal,253,18,12,3,15,1,1.2,11.1
Big Tasty Single,223,12,13,3,14,0.8,0.9,9.1
Big Tasty Single Bacon,241,14,12,3,15,0.8,1.2,10.6
Hamburger,224,12,26,6,8,1,1.1,2.9
Cheeseburger,237,13,24,6,10,1.2,1.4,3.3
Double Cheeseburger,246,15,17,5,13,0.9,1.5,6.5
Double Cheeseburger Bacon,259,17,16,4,14,1,1.8,7.4
